anio,sexo,edades,id_edad
2016,Hombre              ,36,6380
2016,Hombre              ,37,5107
2016,Hombre              ,38,5998
2016,Hombre              ,39,5154
2016,Hombre              ,40,5991
2016,Hombre              ,41,4634
2016,Hombre              ,42,5517
2016,Hombre              ,43,4700
2016,Hombre              ,44,3894
2016,Hombre              ,45,6084
2016,Hombre              ,46,3825
2016,Hombre              ,47,3519
2016,Hombre              ,48,3573
2016,Hombre              ,49,3017
2016,Hombre              ,50,3518
2016,Hombre              ,51,2545
2016,Hombre              ,52,3060
2016,Hombre              ,53,2627
2016,Hombre              ,54,2512
2016,Hombre              ,55,2582
2016,Hombre              ,56,2404
2016,Hombre              ,57,1880
2016,Hombre              ,58,1962
2016,Hombre              ,59,1715
2016,Hombre              ,60,1943
2016,Hombre              ,61,1214
2016,Hombre              ,62,1328
2016,Hombre              ,63,1177
2016,Hombre              ,64,1066
2016,Hombre              ,65,1213
2016,Hombre              ,66,840
2016,Hombre              ,67,758
2016,Hombre              ,68,774
2016,Hombre              ,69,597
2016,Hombre              ,70,660
2016,Hombre              ,71,467
2016,Hombre              ,72,519
2016,Hombre              ,73,419
2016,Hombre              ,74,420
2016,Hombre              ,75,389
2016,Hombre              ,76,323
2016,Hombre              ,77,258
2016,Hombre              ,78,205
2016,Hombre              ,79,161
2016,Hombre              ,80,175
2016,Hombre              ,81,103
2016,Hombre              ,82,106
2016,Hombre              ,83,69
2016,Hombre              ,84,86
2016,Hombre              ,85,82
2016,Hombre              ,86,56
2016,Hombre              ,87,51
2016,Hombre              ,88,22
2016,Hombre              ,89,20
2016,Hombre              ,90,17
2016,Hombre              ,91,6
2016,Hombre              ,92,9
2016,Hombre              ,93,8
2016,Hombre              ,94,5
2016,Hombre              ,95,4
2016,Hombre              ,96,2
2016,Hombre              ,97,1
2016,Hombre              ,98,1
2016,Mujer               ,12,31
2016,Mujer               ,13,21
2016,Mujer               ,14,43
2016,Mujer               ,15,124
2016,Mujer               ,16,259
2016,Mujer               ,17,426
2016,Mujer               ,18,1188
2016,Mujer               ,19,1018
2016,Mujer               ,20,2016
2016,Mujer               ,21,1245
2016,Mujer               ,22,1403
2016,Mujer               ,23,1564
2016,Mujer               ,24,1607
2016,Mujer               ,25,1857
2016,Mujer               ,26,1747
2016,Mujer               ,27,1649
2016,Mujer               ,28,1703
2016,Mujer               ,29,1458
2016,Mujer               ,30,1871
2016,Mujer               ,31,1476
2016,Mujer               ,32,1740
2016,Mujer               ,33,1569
2016,Mujer               ,34,1432
2016,Mujer               ,35,1558
2016,Mujer               ,36,1422
2016,Mujer               ,37,1212
2016,Mujer               ,38,1184
2016,Mujer               ,39,1139
2016,Mujer               ,40,1315
2016,Mujer               ,41,1011
2016,Mujer               ,42,1163
2016,Mujer               ,43,1028
2016,Mujer               ,44,888
2016,Mujer               ,45,1180
2016,Mujer               ,46,844
2016,Mujer               ,47,762
2016,Mujer               ,48,699
2016,Mujer               ,49,647
2016,Mujer               ,50,716
2016,Mujer               ,51,550
2016,Mujer               ,52,635
2016,Mujer               ,53,459
2016,Mujer               ,54,492
2016,Mujer               ,55,487
2016,Mujer               ,56,456
2016,Mujer               ,57,311
2016,Mujer               ,58,356
2016,Mujer               ,59,284
2016,Mujer               ,60,309
2016,Mujer               ,61,221
2016,Mujer               ,62,238
2016,Mujer               ,63,208
2016,Mujer               ,64,167
2016,Mujer               ,65,184
2016,Mujer               ,66,159
2016,Mujer               ,67,143
2016,Mujer               ,68,98
2016,Mujer               ,69,101
2016,Mujer               ,70,134
2016,Mujer               ,71,69
2016,Mujer               ,72,90
2016,Mujer               ,73,61
2016,Mujer               ,74,59
2016,Mujer               ,75,63
2016,Mujer               ,76,41
2016,Mujer               ,77,38
2016,Mujer               ,78,38
2016,Mujer               ,79,19
2016,Mujer               ,80,26
2016,Mujer               ,81,15
2016,Mujer               ,82,13
2016,Mujer               ,83,13
2016,Mujer               ,84,9
2016,Mujer               ,85,6
2016,Mujer               ,86,3
2016,Mujer               ,87,4
2016,Mujer               ,88,4
2016,Mujer               ,89,4
2016,Mujer               ,90,2
2016,Mujer               ,91,2
2016,Mujer               ,93,1
2016,Mujer               ,94,1
2017,Hombre              ,12,141
2017,Hombre              ,13,124
2017,Hombre              ,14,284
2017,Hombre              ,15,556
2017,Hombre              ,16,1374
2017,Hombre              ,17,2480
2017,Hombre              ,18,11973
2017,Hombre              ,19,5083
2017,Hombre              ,20,7493
2017,Hombre              ,21,6508
2017,Hombre              ,22,7225
2017,Hombre              ,23,7563
2017,Hombre              ,24,7566
2017,Hombre              ,25,8258
2017,Hombre              ,26,7745
2017,Hombre              ,27,7759
2017,Hombre              ,28,7870
2017,Hombre              ,29,7157
2017,Hombre              ,30,8429
2017,Hombre              ,31,6075
2017,Hombre              ,32,7396
2017,Hombre              ,33,6400
2017,Hombre              ,34,6029
2017,Hombre              ,35,7309
2017,Hombre              ,36,6342
2017,Hombre              ,37,5713
2017,Hombre              ,38,5930
2017,Hombre              ,39,5139
2017,Hombre              ,40,6335
2017,Hombre              ,41,4552
2017,Hombre              ,42,5720
2017,Hombre              ,43,4725
2017,Hombre              ,44,4221
2017,Hombre              ,45,5421
2017,Hombre              ,46,4041
2017,Hombre              ,47,4109
2017,Hombre              ,48,3789
2017,Hombre              ,49,3377
2017,Hombre              ,50,3768
2017,Hombre              ,51,2752
2017,Hombre              ,52,3283
2017,Hombre              ,53,2692
2017,Hombre              ,54,2609
2017,Hombre              ,55,2542
2017,Hombre              ,56,2479
2017,Hombre              ,57,2195
2017,Hombre              ,58,2173
2017,Hombre              ,59,1735
2017,Hombre              ,60,2000
2017,Hombre              ,61,1331
2017,Hombre              ,62,1525
2017,Hombre              ,63,1277
2017,Hombre              ,64,1110
2017,Hombre              ,65,1271
2017,Hombre              ,66,880
2017,Hombre              ,67,955
2017,Hombre              ,68,822
2017,Hombre              ,69,646
2017,Hombre              ,70,796
2017,Hombre              ,71,511
2017,Hombre              ,72,588
2017,Hombre              ,73,483
2017,Hombre              ,74,416
2017,Hombre              ,75,364
2017,Hombre              ,76,320
2017,Hombre              ,77,291
2017,Hombre              ,78,256
2017,Hombre              ,79,207
2017,Hombre              ,80,241
2017,Hombre              ,81,138
2017,Hombre              ,82,120
2017,Hombre              ,83,102
2017,Hombre              ,84,71
2017,Hombre              ,85,79
2017,Hombre              ,86,56
2017,Hombre              ,87,47
2017,Hombre              ,88,22
2017,Hombre              ,89,22
2017,Hombre              ,90,14
2017,Hombre              ,91,12
2017,Hombre              ,92,8
2017,Hombre              ,93,7
2017,Hombre              ,94,5
2017,Hombre              ,95,4
2017,Hombre              ,96,1
2017,Hombre              ,97,3
2017,Hombre              ,98,7
2017,Mujer               ,12,18
2017,Mujer               ,13,26
2017,Mujer               ,14,54
2017,Mujer               ,15,110
2017,Mujer               ,16,227
2017,Mujer               ,17,384
