anio,sexo,id_entidad,sum
2017,Mujer               ,28,5799
2017,Mujer               ,29,577
2017,Mujer               ,30,2153
2017,Mujer               ,31,1375
2017,Mujer               ,32,475
2018,Hombre              ,1,5574
2018,Hombre              ,2,22735
2018,Hombre              ,3,4598
2018,Hombre              ,4,5120
2018,Hombre              ,5,19061
2018,Hombre              ,6,8430
2018,Hombre              ,7,5197
2018,Hombre              ,8,32838
2018,Hombre              ,9,15090
2018,Hombre              ,10,8522
2018,Hombre              ,11,29236
2018,Hombre              ,12,7673
2018,Hombre              ,13,4960
2018,Hombre              ,14,40278
2018,Hombre              ,15,23240
2018,Hombre              ,16,20353
2018,Hombre              ,17,14184
2018,Hombre              ,18,2069
2018,Hombre              ,19,108753
2018,Hombre              ,20,5943
2018,Hombre              ,21,10518
2018,Hombre              ,22,22760
2018,Hombre              ,23,7749
2018,Hombre              ,24,7210
2018,Hombre              ,25,11379
2018,Hombre              ,26,20248
2018,Hombre              ,27,3439
2018,Hombre              ,28,16463
2018,Hombre              ,29,4248
2018,Hombre              ,30,19346
2018,Hombre              ,31,9482
2018,Hombre              ,32,3238
2018,Mujer               ,1,569
2018,Mujer               ,2,6154
2018,Mujer               ,3,1020
2018,Mujer               ,4,891
2018,Mujer               ,5,4906
2018,Mujer               ,6,767
2018,Mujer               ,7,341
2018,Mujer               ,8,10733
2018,Mujer               ,9,2428
2018,Mujer               ,10,1499
2018,Mujer               ,11,4633
2018,Mujer               ,12,597
2018,Mujer               ,13,794
2018,Mujer               ,14,8150
2018,Mujer               ,15,2410
2018,Mujer               ,16,3083
2018,Mujer               ,17,1636
2018,Mujer               ,18,296
2018,Mujer               ,19,28594
2018,Mujer               ,20,684
2018,Mujer               ,21,1669
2018,Mujer               ,22,4566
2018,Mujer               ,23,1368
2018,Mujer               ,24,1131
2018,Mujer               ,25,2369
2018,Mujer               ,26,5756
2018,Mujer               ,27,227
2018,Mujer               ,28,4856
2018,Mujer               ,29,634
2018,Mujer               ,30,3049
2018,Mujer               ,31,1336
2018,Mujer               ,32,556
2019,Hombre              ,1,5363
2019,Hombre              ,2,15879
2019,Hombre              ,3,4861
2019,Hombre              ,4,5403
2019,Hombre              ,5,19203
2019,Hombre              ,6,8991
2019,Hombre              ,7,5373
2019,Hombre              ,8,37162
2019,Hombre              ,9,13976
2019,Hombre              ,10,7935
2019,Hombre              ,11,29980
2019,Hombre              ,12,8565
2019,Hombre              ,13,4651
2019,Hombre              ,14,32651
2019,Hombre              ,15,27509
2019,Hombre              ,16,19677
2019,Hombre              ,17,15020
2019,Hombre              ,18,1909
2019,Hombre              ,19,103454
2019,Hombre              ,20,7554
2019,Hombre              ,21,10263
2019,Hombre              ,22,19325
2019,Hombre              ,23,9336
2019,Hombre              ,24,7942
2019,Hombre              ,25,13121
2019,Hombre              ,26,20797
2019,Hombre              ,27,4136
2019,Hombre              ,28,18212
2019,Hombre              ,29,3039
2019,Hombre              ,30,19831
2019,Hombre              ,31,9945
2019,Hombre              ,32,3334
2019,Mujer               ,1,669
2019,Mujer               ,2,4951
2019,Mujer               ,3,981
2019,Mujer               ,4,1055
2019,Mujer               ,5,5096
2019,Mujer               ,6,801
2019,Mujer               ,7,478
2019,Mujer               ,8,11718
2019,Mujer               ,9,2320
2019,Mujer               ,10,1351
2019,Mujer               ,11,4981
2019,Mujer               ,12,684
2019,Mujer               ,13,651
2019,Mujer               ,14,7695
2019,Mujer               ,15,3255
2019,Mujer               ,16,2965
2019,Mujer               ,17,1655
2019,Mujer               ,18,237
2019,Mujer               ,19,27605
2019,Mujer               ,20,936
2019,Mujer               ,21,1606
2019,Mujer               ,22,4185
2019,Mujer               ,23,2108
2019,Mujer               ,24,1470
2019,Mujer               ,25,2561
2019,Mujer               ,26,6503
2019,Mujer               ,27,260
2019,Mujer               ,28,5488
2019,Mujer               ,29,323
2019,Mujer               ,30,3239
2019,Mujer               ,31,1455
2019,Mujer               ,32,637
